Simulation,Hill Climb,DQN Normal,Double DQN,Random Selection,No Selection
40,65.86666666666666,65.33333333333333,60.0,54.266666666666666,24.8
41,66.26666666666667,63.33333333333333,69.19999999999999,51.6,28.799999999999997
42,64.0,62.66666666666667,65.60000000000001,54.0,29.46666666666667
43,71.2,63.06666666666667,65.73333333333333,56.13333333333333,35.6
44,62.4,58.4,64.13333333333333,47.599999999999994,35.333333333333336
45,62.26666666666667,63.6,61.6,50.66666666666667,40.13333333333333
46,63.2,66.66666666666666,56.00000000000001,53.333333333333336,31.733333333333334
47,68.93333333333334,63.2,60.4,55.46666666666666,35.46666666666667
48,64.93333333333334,60.13333333333334,66.4,57.599999999999994,28.26666666666667
49,65.33333333333333,70.39999999999999,60.93333333333333,55.06666666666666,29.46666666666667
50,60.4,63.06666666666667,70.39999999999999,49.2,30.533333333333335
51,58.93333333333334,65.2,68.26666666666667,59.599999999999994,27.200000000000003
52,65.33333333333333,67.73333333333333,65.06666666666666,54.800000000000004,31.6
53,62.93333333333333,62.4,65.60000000000001,52.13333333333333,31.6
54,63.2,60.266666666666666,68.8,50.13333333333333,31.333333333333336
55,60.4,66.26666666666667,65.60000000000001,57.86666666666667,26.8
56,65.60000000000001,66.26666666666667,62.53333333333333,58.666666666666664,30.933333333333334
57,52.800000000000004,62.93333333333333,67.06666666666666,52.400000000000006,25.2
58,62.26666666666667,69.33333333333334,65.86666666666666,53.86666666666666,36.266666666666666
59,60.53333333333333,61.73333333333333,68.0,53.6,34.13333333333333
60,63.6,70.39999999999999,67.73333333333333,54.53333333333333,35.86666666666667
61,63.06666666666667,64.66666666666666,65.33333333333333,57.199999999999996,29.86666666666667
62,58.93333333333334,65.2,63.33333333333333,54.53333333333333,35.6
63,59.86666666666667,63.46666666666667,63.2,57.06666666666666,30.533333333333335
64,63.46666666666667,67.73333333333333,61.6,57.86666666666667,30.666666666666664
65,59.199999999999996,64.13333333333333,62.4,54.53333333333333,29.86666666666667
66,63.733333333333334,63.46666666666667,63.733333333333334,58.266666666666666,31.466666666666665
67,59.86666666666667,62.93333333333333,70.26666666666667,54.93333333333334,32.666666666666664
