timestep,cumulative_active_nodes,percent_activated,reward,algorithm,trial
2,219,62.37623762376238,190.74479163691228,cdsqn,7
3,354,66.83168316831683,206.87178766364036,cdsqn,7
4,507,75.74257425742574,233.32323536171663,cdsqn,7
5,673,82.17821782178217,253.11345734420073,cdsqn,7
6,839,82.17821782178217,253.74487474903503,cdsqn,7
7,991,75.24752475247524,234.01799611764815,cdsqn,7
8,1142,74.75247524752476,229.318629258143,cdsqn,7
9,1299,77.72277227722772,237.34635807158705,cdsqn,7
10,1465,82.17821782178217,250.7758018244615,cdsqn,7
11,1624,78.71287128712872,238.59617320580927,cdsqn,7
12,1783,78.71287128712872,241.70648939623894,cdsqn,7
13,1938,76.73267326732673,235.3730070622166,cdsqn,7
14,2107,83.66336633663366,256.809065152521,cdsqn,7
15,2269,80.19801980198021,247.66762817504124,cdsqn,7
16,2419,74.25742574257426,229.69272122350898,cdsqn,7
17,2577,78.21782178217822,242.21016344952724,cdsqn,7
18,2739,80.19801980198021,244.57408371175015,cdsqn,7
19,2902,80.6930693069307,247.9322587869748,cdsqn,7
20,3062,79.20792079207921,241.07967107426597,cdsqn,7
1,109,53.960396039603964,165.75582250478774,whittle,7
2,245,67.32673267326733,205.8923976990043,whittle,7
3,395,74.25742574257426,231.74031712194338,whittle,7
4,556,79.70297029702971,247.33721346827429,whittle,7
5,711,76.73267326732673,235.87666406317558,whittle,7
6,870,78.71287128712872,242.90234375053876,whittle,7
7,1036,82.17821782178217,256.0205175543616,whittle,7
8,1205,83.66336633663366,260.6618837672283,whittle,7
9,1367,80.19801980198021,248.23182270004764,whittle,7
10,1527,79.20792079207921,243.82126724156686,whittle,7
11,1691,81.1881188118812,246.1830825666974,whittle,7
12,1845,76.23762376237624,234.23564028572915,whittle,7
13,2002,77.72277227722772,239.14569999265464,whittle,7
14,2169,82.67326732673267,255.70843694270667,whittle,7
15,2330,79.70297029702971,246.40469799533395,whittle,7
16,2487,77.72277227722772,240.70152329198055,whittle,7
17,2646,78.71287128712872,243.81317669855795,whittle,7
18,2814,83.16831683168317,256.6522855080916,whittle,7
19,2971,77.72277227722772,242.61702029897185,whittle,7
20,3124,75.74257425742574,230.3034525979233,whittle,7
1,101,50.0,155.00137176467967,random,7
2,233,65.34653465346535,203.15457378852977,random,7
3,371,68.31683168316832,212.95470257477655,random,7
4,522,74.75247524752476,231.54103562798286,random,7
5,675,75.74257425742574,231.64876180287186,random,7
6,817,70.29702970297029,216.8428022808158,random,7
7,958,69.80198019801979,215.1844818249184,random,7
8,1117,78.71287128712872,242.86417644448312,random,7
9,1279,80.19801980198021,243.98890239209905,random,7
10,1433,76.23762376237624,235.36674833231453,random,7
11,1584,74.75247524752476,232.35545245647162,random,7
12,1746,80.19801980198021,248.6029195892997,random,7
13,1904,78.21782178217822,239.8438545703826,random,7
14,2064,79.20792079207921,247.88436084738342,random,7
15,2225,79.70297029702971,248.81640007374884,random,7
16,2378,75.74257425742574,232.3942808442092,random,7
17,2533,76.73267326732673,236.0662297935117,random,7
18,2696,80.6930693069307,246.76960425085716,random,7
19,2851,76.73267326732673,236.99472245513735,random,7
20,3009,78.21782178217822,242.15549284879282,random,7
1,94,46.53465346534654,140.3498994027003,dqn,8
2,224,64.35643564356435,198.70240628829205,dqn,8
3,369,71.78217821782178,218.77203181035398,dqn,8
4,521,75.24752475247524,231.9822101671904,dqn,8
5,681,79.20792079207921,246.65330188889473,dqn,8
6,832,74.75247524752476,231.18278737868715,dqn,8
7,981,73.76237623762376,228.1065268230129,dqn,8
8,1141,79.20792079207921,244.7757355516866,dqn,8
9,1304,80.6930693069307,249.5480283591352,dqn,8
10,1463,78.71287128712872,245.30738303427162,dqn,8
11,1622,78.71287128712872,242.94821871517985,dqn,8
12,1782,79.20792079207921,242.47175272180678,dqn,8
13,1939,77.72277227722772,238.44618778865285,dqn,8
14,2093,76.23762376237624,233.10094539044988,dqn,8
15,2247,76.23762376237624,235.2627229878297,dqn,8
16,2397,74.25742574257426,229.08243598674167,dqn,8
17,2551,76.23762376237624,231.2850616452844,dqn,8
18,2708,77.72277227722772,239.21708058454337,dqn,8
19,2870,80.19801980198021,246.11157314818476,dqn,8
20,3038,83.16831683168317,255.2231545400539,dqn,8
1,95,47.02970297029702,147.74262493054957,cdsqn,8
2,230,66.83168316831683,208.2708846885032,cdsqn,8
3,379,73.76237623762376,225.58116974297937,cdsqn,8
4,525,72.27722772277228,221.46492331140567,cdsqn,8
5,678,75.74257425742574,232.57832856279506,cdsqn,8
6,838,79.20792079207921,241.8679925832664,cdsqn,8
7,1003,81.68316831683168,249.87786889848402,cdsqn,8
8,1161,78.21782178217822,240.04987292327706,cdsqn,8
9,1318,77.72277227722772,235.63596139433952,cdsqn,8
10,1470,75.24752475247524,231.07693589692326,cdsqn,8
11,1627,77.72277227722772,240.35225915059496,cdsqn,8
12,1785,78.21782178217822,240.5606125158693,cdsqn,8
13,1942,77.72277227722772,238.76850056821877,cdsqn,8
14,2105,80.6930693069307,248.02461243615363,cdsqn,8
15,2264,78.71287128712872,243.28590412683357,cdsqn,8
16,2420,77.22772277227723,237.1591163040406,cdsqn,8
17,2584,81.1881188118812,248.69770911256265,cdsqn,8
18,2745,79.70297029702971,245.46445315573052,cdsqn,8
19,2908,80.6930693069307,249.0450566776921,cdsqn,8
20,3058,74.25742574257426,228.4389094958463,cdsqn,8
1,104,51.48514851485149,162.4474403960783,whittle,8
2,235,64.85148514851485,201.97624738840184,whittle,8
3,378,70.79207920792079,219.9365332645947,whittle,8
4,531,75.74257425742574,231.5075863172088,whittle,8
5,680,73.76237623762376,228.45434864408972,whittle,8
6,834,76.23762376237624,237.52751376773023,whittle,8
7,982,73.26732673267327,224.60685588476514,whittle,8
8,1131,73.76237623762376,228.02922757025092,whittle,8
9,1289,78.21782178217822,240.17876158478236,whittle,8
10,1453,81.1881188118812,250.33535516344935,whittle,8
11,1619,82.17821782178217,251.94579054273217,whittle,8
12,1777,78.21782178217822,240.76422709029677,whittle,8
13,1940,80.6930693069307,251.02551964422997,whittle,8
14,2106,82.17821782178217,254.3984104813569,whittle,8
15,2262,77.22772277227723,240.3094837909146,whittle,8
16,2420,78.21782178217822,244.17690593429916,whittle,8
17,2571,74.75247524752476,232.79402430441232,whittle,8
18,2730,78.71287128712872,241.68241383635493,whittle,8
19,2884,76.23762376237624,239.50430434224185,whittle,8
20,3044,79.20792079207921,248.3658416541433,whittle,8
1,119,58.91089108910891,182.5918202874495,random,8
2,264,71.78217821782178,220.93065524220916,random,8
3,417,75.74257425742574,232.95487949004186,random,8
4,566,73.76237623762376,228.2756257282272,random,8
5,715,73.76237623762376,228.73763831106092,random,8
6,864,73.76237623762376,224.78254417531636,random,8
7,1012,73.26732673267327,228.50985017116975,random,8
8,1172,79.20792079207921,245.2261848104288,random,8
9,1335,80.6930693069307,246.25192690528806,random,8
10,1495,79.20792079207921,243.54482009807083,random,8
11,1657,80.19801980198021,246.56808640379546,random,8
12,1826,83.66336633663366,257.1190221419487,random,8
13,1987,79.70297029702971,243.72142439240568,random,8
14,2145,78.21782178217822,242.26693699268728,random,8
15,2312,82.67326732673267,254.854690691603,random,8
16,2471,78.71287128712872,242.48668616661607,random,8
17,2623,75.24752475247524,230.63974378075596,random,8
18,2779,77.22772277227723,237.42953688157988,random,8
19,2937,78.21782178217822,242.80319930550215,random,8
20,3093,77.22772277227723,237.22614862083694,random,8
1,109,53.960396039603964,165.6987462528495,dqn,9
2,246,67.82178217821783,207.79626494211342,dqn,9
3,388,70.29702970297029,213.4803601507894,dqn,9
4,533,71.78217821782178,220.359776036853,dqn,9
5,686,75.74257425742574,233.50019202798535,dqn,9
6,841,76.73267326732673,236.96872301178092,dqn,9
7,994,75.74257425742574,231.2472792315553,dqn,9
8,1145,74.75247524752476,230.7364312320812,dqn,9
9,1306,79.70297029702971,243.47208651546237,dqn,9
10,1473,82.67326732673267,253.44936921766197,dqn,9
11,1630,77.72277227722772,239.7636251677228,dqn,9
12,1786,77.22772277227723,235.8325239171291,dqn,9
13,1942,77.22772277227723,236.4176684164918,dqn,9
14,2100,78.21782178217822,239.97062356472358,dqn,9
15,2254,76.23762376237624,232.14121337700368,dqn,9
16,2414,79.20792079207921,243.63385585331375,dqn,9
17,2574,79.20792079207921,241.046968561481,dqn,9
18,2731,77.72277227722772,239.29109429234447,dqn,9
19,2896,81.68316831683168,248.64019964326033,dqn,9
20,3058,80.19801980198021,245.69620207166872,dqn,9
