timestep,dqn_cumulative_active_nodes_mean,dqn_percent_activated_mean,dqn_reward_mean,graph_cumulative_active_nodes_mean,graph_percent_activated_mean,graph_reward_mean,hillclimb_cumulative_active_nodes_mean,hillclimb_percent_activated_mean,hillclimb_reward_mean,none_cumulative_active_nodes_mean,none_percent_activated_mean,none_reward_mean,whittle_cumulative_active_nodes_mean,whittle_percent_activated_mean,whittle_reward_mean
17,26156.36,83.31648235913639,2379.589616311794,24789.66,79.15955766192734,2259.6443755255896,24893.44,79.51342812006317,2270.088597933049,24596.06,78.44760400210636,2239.113869634349,25526.18,81.34386519220648,2323.228210354951
18,27741.84,83.49025803054239,2384.3636421221,26288.04,78.90363349131123,2252.282603253055,26402.78,79.48077935755663,2269.339882992956,26084.5,78.38020010531858,2237.918495962368,27072.0,81.40179041600842,2324.3702186023675
19,29324.58,83.34597156398104,2381.2767387410668,27784.38,78.7962085308057,2249.161974310233,27910.86,79.41442864665612,2268.4452499693466,27573.7,78.42022116903635,2238.9793739947704,28617.24,81.37124802527646,2324.1307336892005
20,30907.6,83.36071616640336,2380.3250266670907,29281.88,78.85729331226963,2252.425650197256,29418.46,79.38915218536071,2266.50360730173,29064.94,78.52764612954186,2243.435785080517,30164.62,81.48393891521852,2327.7350544260953
21,32492.14,83.44075829383887,2382.4792010327164,30783.92,79.0963665086888,2258.5826675391245,30924.58,79.31121642969984,2264.41787228089,30555.62,78.49815692469723,2241.391295483786,31708.54,81.30173775671403,2321.620198191664
22,34074.7,83.33649289099527,2379.7203423076794,32283.84,78.98472880463402,2255.572577898731,32432.1,79.38493944181147,2267.2718454656315,32047.66,78.5697735650342,2242.5379527551345,33253.46,81.35439705107953,2323.7816441261903
23,35659.66,83.46287519747237,2383.4660355598435,33782.46,78.91627172195894,2255.1186374240556,33937.12,79.25329120589785,2264.2293983376285,33538.1,78.4855186940495,2241.587805994997,34800.28,81.45444971037388,2327.5541829290983
24,37240.32,83.23644023170087,2377.2550842616274,35283.5,79.04370721432333,2258.338998512047,35445.08,79.40810953133231,2268.670241645212,35027.82,78.44760400210636,2240.110755963626,36349.58,81.58504476040022,2330.6621191641375
25,38820.84,83.22906793048973,2377.039943030447,36782.9,78.95734597156395,2255.0218971458085,36953.42,79.42812006319116,2268.9958023594686,36519.04,78.52659294365456,2241.9545611667327,37901.34,81.71458662453922,2334.1676338134116
26,40404.84,83.41232227488152,2384.1053279554862,38284.68,79.08267509215376,2257.950139551203,38463.14,79.50078988941549,2271.1908833989673,38008.58,78.4381253291206,2239.7953667881434,39450.06,81.55450236966824,2328.8406774283217
27,41988.62,83.40073723012114,2383.0216831807707,39790.74,79.30805687203788,2266.295180181433,39976.1,79.67140600315956,2276.572820997521,39499.56,78.51395471300684,2241.3505853420907,41002.62,81.75671406003158,2334.2661944880456
28,43572.34,83.39757767245915,2382.441759111956,41295.96,79.26382306477092,2263.7233781475625,41489.7,79.70510795155344,2276.3018603902337,40988.14,78.38757240652976,2238.307243517603,42550.86,81.52922590837284,2327.453614762606
29,45153.58,83.26698262243288,2379.4901142409262,42799.5,79.17535545023696,2261.1327241923414,43003.22,79.70089520800421,2276.5763847785,42479.16,78.51606108478146,2242.5453617457742,44095.1,81.31858873091099,2321.162087017188
30,46738.02,83.43549236440232,2382.7622708767904,44301.04,79.07003686150605,2257.685639778925,44516.46,79.6861506055819,2276.296489158362,43969.02,78.45497630331755,2240.5141726271377,45641.74,81.44497103738811,2326.5794920122366
